symbol,open,close,high,low,volume,changePercent,date,companyName,sector
EOG,51.03,49.86,51.99,49.78,3394827,0.0,2020-07-01,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,51.17,50.52,51.63,50.45,4166420,0.0132,2020-07-02,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,51.22,50.41,52.09,49.87,2381365,-0.0022,2020-07-06,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,49.68,48.11,49.78,48.02,3780131,-0.0456,2020-07-07,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,48.28,47.44,48.755,47.17,3867401,-0.0139,2020-07-08,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,47.28,44.34,47.44,44.28,5210031,-0.0653,2020-07-09,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,44.34,45.4,45.57,44.04,6245707,0.0239,2020-07-10,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,45.87,44.95,46.135,44.54,3817909,-0.0099,2020-07-13,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,44.84,47.28,47.3,44.47,3695583,0.0518,2020-07-14,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,48.29,47.46,48.413,46.3,4202053,0.0038,2020-07-15,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,46.52,47.82,48.35,46.14,3080108,0.0076,2020-07-16,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,47.83,47.16,48.89,46.86,2949519,-0.0138,2020-07-17,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,46.93,47.7,48.65,46.93,4004072,0.0115,2020-07-20,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,48.7,50.42,50.99,48.7,4584509,0.057,2020-07-21,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,49.61,50.19,50.48,49.01,2564996,-0.0046,2020-07-22,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,49.58,48.85,50.075,48.625,4936375,-0.0267,2020-07-23,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,49.14,49.04,49.98,48.62,3055045,0.0039,2020-07-24,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,48.81,48.56,49.49,48.17,2474830,-0.0098,2020-07-27,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,48.11,47.27,48.69,47.19,2763314,-0.0266,2020-07-28,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,47.39,48.5,48.52,46.945,3016230,0.026,2020-07-29,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,47.34,46.58,47.687,46.09,3226862,-0.0396,2020-07-30,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,45.91,46.85,46.8843,45.85,2882753,0.0058,2020-07-31,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,46.86,46.37,47.07,45.91,4004510,-0.0102,2020-08-03,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,46.38,48.46,48.77,46.09,5754259,0.0451,2020-08-04,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,49.87,50.75,51.11,49.52,5070023,0.0473,2020-08-05,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,50.41,50.89,51.08,50.26,3290616,0.0028,2020-08-06,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,47.0,48.81,49.19,45.07,8528582,-0.0409,2020-08-07,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,48.99,50.46,50.63,48.64,4089132,0.0338,2020-08-10,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,52.0,49.42,52.78,49.23,5529011,-0.0206,2020-08-11,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,50.33,49.09,50.34,48.62,4644346,-0.0067,2020-08-12,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,48.77,47.42,49.15,47.38,3394574,-0.034,2020-08-13,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,47.35,47.97,47.98,46.9335,3498927,0.0116,2020-08-14,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,47.9,46.54,47.9,46.09,4693828,-0.0298,2020-08-17,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,46.32,46.35,47.18,46.18,3215371,-0.0041,2020-08-18,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,46.2,45.61,46.56,45.4403,2878945,-0.016,2020-08-19,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,44.96,44.1,45.3,44.09,4225548,-0.0331,2020-08-20,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,44.08,43.39,44.12,42.98,4166373,-0.0161,2020-08-21,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,43.71,44.33,44.965,43.36,6078888,0.0217,2020-08-24,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,44.98,44.38,45.13,44.05,3263377,0.0011,2020-08-25,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,44.24,43.26,44.36,43.01,3054055,-0.0252,2020-08-26,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,43.61,44.95,45.1,43.2,5453766,0.0391,2020-08-27,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,45.31,46.21,46.25,44.76,3365853,0.028,2020-08-28,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,46.22,45.34,46.25,45.01,3017617,-0.0188,2020-08-31,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,44.72,45.21,45.375,44.39,2906426,-0.0029,2020-09-01,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,44.72,43.7,45.14,43.53,5249985,-0.0334,2020-09-02,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,43.71,43.13,44.6,42.78,5188178,-0.013,2020-09-03,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,43.57,43.14,43.92,42.55,4418485,0.0002,2020-09-04,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,42.17,40.83,42.36,40.03,5747395,-0.0535,2020-09-08,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,41.36,41.86,42.34,40.95,3565132,0.0252,2020-09-09,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,41.82,38.0,41.82,37.99,7457202,-0.0922,2020-09-10,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,38.48,39.05,39.19,37.9,5658349,0.0276,2020-09-11,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,39.31,39.17,39.76,38.54,5543260,0.0031,2020-09-14,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,39.5,38.59,39.78,38.43,4791164,-0.0148,2020-09-15,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,38.9,40.86,41.58,38.65,6554612,0.0588,2020-09-16,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,39.86,41.19,41.2,39.56,3900685,0.0081,2020-09-17,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,40.8,40.71,41.55,40.31,5865754,-0.0117,2020-09-18,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,39.5,38.81,40.11,38.29,4719980,-0.0467,2020-09-21,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,39.07,38.45,39.7,37.9761,3768221,-0.0093,2020-09-22,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,38.71,36.38,39.08,36.34,4041385,-0.0538,2020-09-23,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,36.18,36.65,37.44,35.33,4431716,0.0074,2020-09-24,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,36.25,37.45,37.8,36.06,3366030,0.0218,2020-09-25,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,38.37,37.44,38.37,37.26,4169951,-0.0003,2020-09-28,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,37.24,36.19,37.47,34.9,7018353,-0.0334,2020-09-29,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
EOG,36.44,35.94,36.76,35.8,6033687,-0.0069,2020-09-30,"EOG Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction"
FRC,106.62,105.03,106.89,104.59,1001641,0.0,2020-07-01,First Republic Bank,Finance and Insurance
FRC,107.63,104.62,108.43,103.915,802620,-0.0039,2020-07-02,First Republic Bank,Finance and Insurance
FRC,106.37,105.79,108.16,104.9,646732,0.0112,2020-07-06,First Republic Bank,Finance and Insurance
FRC,104.98,103.6,105.99,103.58,866209,-0.0207,2020-07-07,First Republic Bank,Finance and Insurance
FRC,104.06,103.8,104.88,102.41,1139562,0.0019,2020-07-08,First Republic Bank,Finance and Insurance
FRC,103.29,102.31,104.055,100.82,835789,-0.0144,2020-07-09,First Republic Bank,Finance and Insurance
FRC,101.95,105.48,105.55,101.95,792495,0.031,2020-07-10,First Republic Bank,Finance and Insurance
FRC,106.41,106.76,109.04,105.31,1376793,0.0121,2020-07-13,First Republic Bank,Finance and Insurance
FRC,107.71,108.72,110.65,105.69,1164624,0.0184,2020-07-14,First Republic Bank,Finance and Insurance
FRC,110.49,111.08,111.665,109.73,771574,0.0217,2020-07-15,First Republic Bank,Finance and Insurance
FRC,110.08,112.44,113.05,109.67,762809,0.0122,2020-07-16,First Republic Bank,Finance and Insurance
FRC,112.59,112.1,113.2,111.88,684089,-0.003,2020-07-17,First Republic Bank,Finance and Insurance
FRC,111.09,111.57,112.09,110.76,529970,-0.0047,2020-07-20,First Republic Bank,Finance and Insurance
FRC,111.44,113.88,113.925,111.31,774172,0.0207,2020-07-21,First Republic Bank,Finance and Insurance
FRC,113.15,113.2,113.92,112.355,728903,-0.006,2020-07-22,First Republic Bank,Finance and Insurance
FRC,113.17,115.12,115.58,113.1,658957,0.017,2020-07-23,First Republic Bank,Finance and Insurance
FRC,115.47,114.82,115.84,114.58,433353,-0.0026,2020-07-24,First Republic Bank,Finance and Insurance
FRC,114.08,113.9,114.59,112.75,364964,-0.008,2020-07-27,First Republic Bank,Finance and Insurance
FRC,113.18,112.21,113.58,112.17,566649,-0.0148,2020-07-28,First Republic Bank,Finance and Insurance
FRC,111.59,113.72,113.9,110.62,513775,0.0135,2020-07-29,First Republic Bank,Finance and Insurance
FRC,111.61,112.44,112.83,110.83,560538,-0.0113,2020-07-30,First Republic Bank,Finance and Insurance
FRC,112.03,112.48,112.57,110.58,648724,0.0004,2020-07-31,First Republic Bank,Finance and Insurance
FRC,112.82,112.94,113.6,111.55,604220,0.0041,2020-08-03,First Republic Bank,Finance and Insurance
FRC,112.73,113.2,113.4519,111.82,591527,0.0023,2020-08-04,First Republic Bank,Finance and Insurance
FRC,114.0,114.55,114.98,113.45,340453,0.0119,2020-08-05,First Republic Bank,Finance and Insurance
FRC,114.02,113.95,114.68,113.13,392725,-0.0052,2020-08-06,First Republic Bank,Finance and Insurance
FRC,113.42,116.12,116.17,112.94,564047,0.019,2020-08-07,First Republic Bank,Finance and Insurance
FRC,116.55,116.14,117.83,115.9,535397,0.0002,2020-08-10,First Republic Bank,Finance and Insurance
